size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.359325695037085e-8,2.618976402282203e-7,5.0704044520854604e-8
1,1048576,9.501215782165141e-7,9.506062755583531e-7,9.504140216111909e-7
2,1048576,9.497051858900494e-7,9.501805772780337e-7,9.49928384214612e-7
4,1048576,8.254671354293338e-7,9.047282018661222e-7,9.018260534107779e-7
8,1048576,8.951238107682537e-7,8.955856466292398e-7,8.95361277937849e-7
16,1048576,9.436228427888047e-7,9.451956195829604e-7,9.447625909447764e-7
32,1048576,1.2103373994827723e-6,1.2905939502720122e-6,1.2683583403826582e-6
64,1048576,1.2672340421669425e-6,1.3453663473123644e-6,1.3231057767868198e-6
128,1048576,1.5761304159163896e-6,1.6384391813267531e-6,1.6354749353527364e-6
256,1048576,2.1230344228751574e-6,2.182903914452134e-6,2.180349637746692e-6
512,1048576,1.254927747058961e-5,1.2549579019547306e-5,1.254947092288738e-5
1024,1048576,1.3619560936929741e-5,1.3619966062542072e-5,1.361973999753628e-5
2048,524288,1.5158892421715634e-5,1.515945865630919e-5,1.5159348357140153e-5
4096,262144,2.040172513198432e-5,2.040481840133142e-5,2.0404566231963582e-5
8192,131072,2.299591008758352e-5,2.588476045990208e-5,2.44494956755628e-5
16384,65536,3.941481629943916e-5,3.942987149046216e-5,3.942406955337751e-5
32768,32768,7.052301657108203e-5,7.053940856932518e-5,7.053302702426977e-5
65536,16384,0.00013443589947512982,0.00013445612701417763,0.0001344492036723994
131072,8192,0.0002674308834227845,0.0002674781409912185,0.0002674672083396849
262144,4096,0.0005703475119628702,0.0005704731594238163,0.0005704420416793851
524288,2048,0.0010477439687498966,0.0010482425083007466,0.0010481360550384353
1048576,1024,0.002084882969726698,0.0020868363681640217,0.0020863996495360977
2097152,512,0.004157093109375037,0.004164849689453465,0.004163129250915592
