size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,8.864092126970036e-8,3.290613994622049e-7,9.754652358605342e-8
1,1048576,1.0157343189876045e-6,1.0783611401610216e-6,1.0603154773428103e-6
2,1048576,1.0086927840768922e-6,1.0709192732605288e-6,1.0531991049122363e-6
4,1048576,9.243163616723393e-7,9.862563783435974e-7,9.688470468879884e-7
8,1048576,9.62581959584874e-7,1.0242238936974957e-6,1.009936693356292e-6
16,1048576,1.0470533305939611e-6,1.1087230102901913e-6,1.0833056726389234e-6
32,1048576,1.4106051158258026e-6,1.474833933423625e-6,1.4417641478227383e-6
64,1048576,1.638442403084639e-6,1.7496950383000254e-6,1.692652279365256e-6
128,1048576,2.337902578863904e-6,2.3495375520710127e-6,2.3466696405620435e-6
256,1048576,2.8276069619082023e-6,2.9099215996808425e-6,2.9042537703586474e-6
512,1048576,3.7913747397144704e-6,3.8022664696768516e-6,3.799178118638405e-6
1024,1048576,5.195522306156164e-6,6.008119850853255e-6,5.60168222134283e-6
2048,524288,7.496753029911929e-6,9.147632314299159e-6,8.324066369046201e-6
4096,262144,1.1636236303402825e-5,1.750039609182963e-5,1.4991395254085327e-5
8192,131072,2.0401138101533434e-5,3.325013856869674e-5,2.8360494301118977e-5
16384,65536,6.541123670356086e-5,6.542234209661046e-5,6.54189341242617e-5
32768,32768,0.00011989977806869945,0.00011991149939305501,0.00011990816692120099
65536,16384,0.00021540247453444294,0.00021541520397505565,0.00021541094928123616
131072,8192,0.0003919784250214775,0.00039199225952302186,0.0003919865066432937
262144,4096,0.0007349897237816094,0.000735013747771518,0.0007350016320000208
524288,2048,0.0014347593380534818,0.0014347933611134067,0.0014347783157431238
1048576,1024,0.0029466538971973932,0.002946887348571181,0.0029467887116201297
2097152,512,0.02017701845488773,0.020184851700719264,0.02018171742480135
