size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.368567848206152e-8,2.359801340102774e-7,6.845678555964924e-8
1,1048576,6.723283538818192e-7,6.726316680910075e-7,6.724959517717484e-7
2,1048576,7.138559970855357e-7,7.142598180770466e-7,7.140515509843062e-7
4,1048576,7.105790882108108e-7,7.110163164138399e-7,7.107890019415583e-7
8,1048576,7.10422409057848e-7,7.107225275038668e-7,7.106251937152256e-7
16,1048576,6.272830858229821e-7,6.276998491284878e-7,6.274378167390344e-7
32,1048576,5.459290094378294e-7,6.2028070545184e-7,6.014174089434506e-7
64,1048576,7.078873739243665e-7,7.80327758789417e-7,7.602571485046596e-7
128,1048576,8.423176250460628e-7,9.19325795173748e-7,9.096540471315362e-7
256,1048576,8.927689962390402e-7,9.591092090604414e-7,9.501848068237586e-7
512,1048576,9.702154407516314e-7,1.0721014499661782e-6,1.059083401203608e-6
1024,1048576,1.3574028444281333e-6,1.4162528247834355e-6,1.4086922577617043e-6
2048,524288,1.9151369876843265e-6,1.9327547054287883e-6,1.9296773974889595e-6
4096,262144,3.379855033872883e-6,3.3991574630703935e-6,3.3945127053261493e-6
8192,131072,6.198277465817802e-6,6.216366683960386e-6,6.211254935265271e-6
16384,65536,1.184814372253142e-5,1.1865395736694888e-5,1.1856255321501303e-5
32768,32768,2.3244814758301147e-5,2.327636093139737e-5,2.3265084407807107e-5
65536,16384,6.177128887938825e-5,6.179591705322818e-5,6.178814868926718e-5
131072,8192,9.044617675784631e-5,9.047517138672059e-5,9.046317758178886e-5
262144,4096,0.00016518549316404084,0.00016526165942384353,0.00016524617578124955
524288,2048,0.00030781198193362107,0.00030783923730467316,0.0003078249114990281
1048576,1024,0.0005849185800781177,0.0005850191220703599,0.0005849706345214946
2097152,512,0.0011574243183594332,0.0011577274687499667,0.0011575813967285228
